ID,orig,dest,duration,distance
1,97,118,1524,6726
2,97,119,1336,5721
3,48,127,1928,8337
4,48,126,2058,8878
5,48,121,1894,8135
6,48,120,2100,9189
7,48,123,1675,7030
8,48,122,1750,7213
9,97,110,859,3861
10,97,111,1757,7846
11,97,112,1697,7576
12,97,113,1375,6444
13,48,129,1770,8419
14,97,115,1586,7187
15,97,116,1327,6425
16,97,117,1848,8191
17,74,138,455,2117
18,78,79,264,961
19,43,57,1067,3958
20,43,56,1423,4886
21,50,128,1309,6529
22,43,54,494,1573
23,43,53,1108,4317
24,43,52,1127,4419
25,43,51,1146,4158
26,43,50,1037,3737
27,50,122,1366,5091
28,50,123,1291,4908
29,50,120,1716,7067
30,50,121,1510,6013
31,50,126,1566,6918
32,50,127,1279,5163
33,50,124,1421,5660
34,50,125,1091,4023
35,48,125,1475,6145
36,109,119,1344,5304
37,109,118,2108,9203
38,48,124,1805,7782
39,109,115,2170,9664
40,109,114,1844,7977
41,109,117,1517,6277
42,109,116,1509,5923
43,109,111,1832,7919
44,109,110,2453,10090
45,109,113,1933,7865
46,109,112,1313,5737
47,97,114,1722,7837
48,144,145,220,1132
49,48,128,1023,4170
50,33,67,596,2386
51,26,35,492,1780
52,45,73,1306,6055
53,45,72,1215,4837
54,45,71,1779,7812
55,45,70,1284,5916
56,33,66,710,3242
57,83,119,955,3660
58,83,118,2158,9225
59,83,117,1272,5087
60,83,116,1210,4526
61,83,115,2220,9686
62,83,114,1514,6043
63,83,113,1584,6221
64,83,112,1131,4458
65,83,111,1787,7587
66,83,110,2143,8810
67,45,75,1021,3218
68,45,74,1380,6245
69,88,89,444,2038
70,70,128,869,3712
71,70,129,155,520
72,70,120,2222,8518
73,70,121,2118,8078
74,70,122,2035,7394
75,70,123,2086,8598
76,70,124,2216,9351
77,70,125,1886,7713
78,70,126,1389,5837
79,70,127,839,3412
80,43,55,1291,4726
81,70,86,1553,5765
82,70,87,306,1221
83,70,84,1107,5088
84,50,129,1491,7149
85,70,82,1268,5348
86,70,83,1838,7336
87,70,80,641,3234
88,70,81,1676,7673
89,70,88,501,2297
90,70,89,268,1061
101,36,113,718,2710
102,36,112,514,1840
103,36,111,925,3434
104,36,110,1847,8705
105,36,117,665,2455
106,36,116,360,1340
107,36,115,1354,6175
108,36,114,890,3425
109,71,105,2636,10449
110,36,119,32,108
111,36,118,1292,5714
112,43,59,469,1335
113,43,58,763,2846
114,88,132,388,1654
115,88,133,591,2456
116,88,130,267,1297
117,88,131,619,2433
118,88,136,436,1623
119,88,137,483,2213
120,88,134,748,3617
121,88,135,169,683
122,88,138,394,1946
123,88,139,871,4175
124,24,129,2064,9100
125,24,128,1439,6060
126,24,123,1722,7572
127,24,122,2044,7894
128,24,121,2187,8816
129,24,120,2393,9870
130,24,127,2221,9018
131,24,126,2351,9559
132,24,125,1768,6826
133,24,124,2099,8463
134,56,57,677,2190
135,56,59,1002,3585
136,56,58,1126,4268
137,69,144,1948,8196
138,69,145,1705,6941
139,69,140,1937,7676
140,69,141,1972,8023
141,69,142,2088,8683
142,69,143,1933,7621
143,14,29,1382,6129
144,14,26,908,3608
145,14,27,494,1862
146,14,24,1569,6223
147,14,25,760,2846
148,14,22,1386,5408
149,14,23,1371,5551
150,14,20,1558,6209
151,14,21,570,2294
152,47,99,306,711
153,47,98,321,1263
154,24,32,1733,7040
155,24,33,1415,5293
156,24,30,1700,6664
157,24,31,152,594
158,24,36,975,3541
159,24,37,2534,11663
160,24,34,1773,6891
161,24,35,506,1576
162,73,141,972,4113
163,45,128,1144,3644
165,24,39,880,3543
166,73,145,705,3031
167,47,95,931,4211
168,72,89,832,3648
169,47,94,467,1858
170,33,109,1319,5217
171,72,84,229,1141
172,72,85,2056,7952
173,33,101,204,571
174,33,100,1123,3863
175,33,103,385,1450
176,33,102,892,3109
177,33,105,1300,4438
178,72,86,1606,7346
179,33,107,1924,7835
180,33,106,1800,7237
181,16,86,854,4384
182,16,87,1509,6712
183,16,84,1155,4834
184,72,87,826,3326
185,16,82,996,4730
186,16,83,713,3080
187,25,128,1178,4116
188,25,129,1583,6387
189,25,126,1301,5848
190,25,127,1398,5489
191,25,124,1048,4753
192,25,125,718,3115
193,25,122,993,4183
194,25,123,918,4000
195,25,120,1343,6159
196,25,121,1137,5106
197,72,82,1749,7692
198,72,83,1714,6784
199,41,139,1594,7192
200,41,138,1307,5576
201,41,137,1187,5156
202,41,136,1113,4239
203,41,135,1187,4940
204,41,134,1471,6634
205,41,133,1286,5505
206,41,132,1104,4236
207,41,131,694,2356
208,41,130,1216,4918
209,9,101,638,2399
210,9,100,1505,5209
211,9,103,711,2979
212,9,102,1218,4638
213,9,105,1733,5877
214,9,104,2031,7161
215,9,107,2045,7741
216,9,106,1921,7143
217,9,109,2196,8856
218,9,108,1906,6965
219,106,140,2984,13538
220,12,88,1395,5257
221,12,89,1539,6396
222,96,99,1505,5924
223,12,82,761,3029
224,12,83,690,2514
225,12,80,1009,3711
226,12,81,892,3312
227,12,86,619,2683
228,12,87,1563,6753
229,12,84,1232,5126
230,12,85,926,3271
231,30,37,1426,5870
232,30,36,828,3692
233,30,35,1295,5598
234,30,34,683,2818
235,106,143,2580,11596
236,30,32,439,1721
237,30,31,1774,7446
238,30,39,934,3706
240,107,139,2816,13058
241,107,138,2339,10828
242,62,109,1440,5334
243,62,108,1318,5148
244,96,98,1063,5044
245,107,131,2221,9910
246,107,130,2213,10179
247,107,133,2536,11339
248,107,132,2333,10537
249,107,135,2091,9556
250,107,134,2693,12499
251,107,137,2428,11095
252,107,136,1779,7693
263,18,99,2003,8797
264,106,145,2759,12818
265,121,128,1828,7913
266,121,129,2233,10184
267,121,122,211,976
268,121,123,563,2818
269,121,126,1053,4450
270,121,127,1102,4686
271,121,124,145,790
272,121,125,373,1987
273,63,107,524,2133
274,106,144,3007,13951
275,46,76,857,3082
276,46,77,1761,7348
277,46,74,1098,4419
278,46,75,748,2558
279,46,72,942,4177
280,46,73,1564,6231
281,46,70,1432,5934
282,46,71,1393,5376
283,73,79,520,2064
284,46,78,1426,6292
285,46,79,1228,4613
286,48,71,1454,6635
287,104,114,1415,6046
288,66,137,1305,5127
289,66,134,1589,6605
290,66,135,1305,4911
291,66,132,1222,4208
292,66,133,1404,5476
293,66,130,1334,4889
294,66,131,873,3174
295,21,104,1149,4064
296,21,105,916,3230
297,21,106,1133,3961
298,21,107,1257,4559
299,21,100,719,2655
300,21,101,465,1960
301,66,138,1425,5547
302,66,139,1712,7163
303,5,25,508,1854
304,5,24,1202,4548
305,5,27,418,1490
306,5,26,683,2520
307,5,21,252,1016
308,5,20,1190,4534
309,5,23,1004,3876
310,5,22,1019,3733
311,5,29,1120,5150
312,76,77,927,3487
313,93,114,1745,7288
314,93,115,2072,8975
315,13,61,700,2668
316,13,60,1365,5242
317,93,110,2656,10659
318,93,111,1734,7230
319,93,112,1215,5048
320,93,113,1708,6755
321,13,69,1426,5121
322,13,68,1357,4701
323,93,118,2009,8514
324,93,119,1468,5509
325,122,125,268,1285
326,122,124,511,2695
327,122,127,947,3853
328,122,126,898,3617
329,122,123,458,2115
330,122,129,2078,9351
331,122,128,1673,7080
333,18,93,2871,12419
334,50,68,1086,4821
